NAME,PRICE,24H CHANGE,24H VOLUME,MARKET CAP
Bitcoin,"$25,265.09",-2.79%,$17.95 B,$490.22 B
Ethereum,"$1,654.14",-4.44%,$9.71 B,$198.86 B
Tether,$0.9993,-0.09%,$30.86 B,$83.5 B
BNB,$234.19,-4.38%,$583.69 M,$36.5 B
USD Coin,$1.00,+0.04%,$6.67 B,$28.2 B
XRP,$0.4773,-4.47%,$1.61 B,$24.81 B
Cardano,$0.2575,-4.90%,$305.38 M,$8.99 B
Dogecoin,$0.06116,-0.53%,$316.54 M,$8.55 B
TRON,$0.07053,-2.53%,$223.96 M,$6.35 B
Solana,$14.45,-4.07%,$391.21 M,$5.77 B
Litecoin,$73.81,-3.90%,$560.77 M,$5.4 B
Polygon,$0.5786,-11.06%,$509.67 M,$5.37 B
Polkadot,$4.31,-9.54%,$201.23 M,$5.15 B
Toncoin,$1.37,-2.05%,$8.13 M,$4.72 B
Dai,$1.00,-0.00%,$555.75 M,$4.59 B
Binance USD,$1.00,+0.02%,$3.82 B,$4.39 B
Avalanche,$11.32,-4.09%,$181.97 M,$3.9 B
Shiba Inu,$0.000006643,-2.11%,$84.73 M,$3.91 B
UNUS SED LEO,$3.53,-0.12%,"$807,291",$3.29 B
Cosmos,$8.47,-3.15%,$98.54 M,$2.94 B
Chainlink,$5.26,-3.40%,$195.41 M,$2.72 B
Uniswap,$4.33,-6.22%,$128.77 M,$2.5 B
Monero,$134.63,+0.90%,$69.82 M,$2.46 B
OKB,$39.72,-2.46%,$4.96 M,$2.38 B
Ethereum Classic,$14.97,-1.33%,$125.36 M,$2.12 B
TrueUSD,$1.01,-0.01%,$2.02 B,$2.03 B
Stellar,$0.0761,-5.84%,$56.91 M,$2.05 B
Bitcoin Cash,$103.77,-1.22%,$84.04 M,$2.02 B
Cryptonex,$18.34,-2.87%,$3.49 M,$1.97 B
Internet Computer,$3.90,-2.34%,$27.21 M,$1.7 B
Filecoin,$3.54,-3.83%,$122.73 M,$1.52 B
Lido DAO Token,$1.65,-7.34%,$52.93 M,$1.45 B
Cronos,$0.05226,-0.79%,$8.55 M,$1.36 B
Wrapped HBAR,$0.04257,-9.40%,"$150,186",$1.35 B
Hedera,$0.04281,-9.32%,$29.04 M,$1.35 B
Aptos,$6.10,-3.12%,$138.93 M,$1.26 B
Arbitrum,$0.9349,-5.71%,$256.97 M,$1.19 B
Quant,$98.84,-1.09%,$18.16 M,$1.19 B
NEAR Protocol,$1.20,-1.54%,$64.79 M,$1.11 B
VeChain,$0.01487,-7.00%,$35.21 M,$1.08 B
Pax Dollar,$1.00,-0.00%,$38.47 M,$1.01 B
Frax,$0.9994,+0.09%,$136.55 M,$1 B
The Graph,$0.09705,-2.66%,$42.43 M,$874.71 M
Algorand,$0.1098,-6.38%,$45.34 M,$795.8 M
ApeCoin,$2.09,-2.98%,$122.75 M,$770.41 M
Rocket Pool,$38.79,-5.56%,$5.73 M,$755.48 M
BitDAO,$0.4017,-5.23%,$4.02 M,$740.59 M
USDD,$0.9993,-0.35%,$15.47 M,$732.61 M
MultiversX,$29.08,-4.96%,$16.1 M,$743.51 M
Aave,$49.96,-10.02%,$66.64 M,$720.8 M
